104 "" "" 70.10081305 -41.88435 ESO-2.2m GROND 0104.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 2.0 2.0 J,H,K testOB -1 1.047 1.047 1.25 1.25 1 2021-01-17T00:38:00 6 2021-01-17T00:38:50
104 "" "" 70.10080888 -41.88435 ESO-2.2m GROND 0104.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 2.0 2.0 J,H,K testOB -1 1.047 1.047 1.25 1.25 1 2021-01-17T00:38:00 7 2021-01-17T00:38:56
106 ERASST_J234403-352638 ERASST_J234403-352638 356.04153805 -35.41934 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 114.946 "" G,R,I,Z eRASSt_J234403-352638_2021-01-16 -1 1.627 1.631 1.15 1.15 2 2021-01-17T00:48:08 1 2021-01-17T00:48:26
106 ERASST_J234403-352638 ERASST_J234403-352638 356.04127694 -35.41919 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 10.0 10.0 J,H,K eRASSt_J234403-352638_2021-01-16 -1 1.611 1.614 1.15 1.15 2 2021-01-17T00:48:08 2 2021-01-17T00:48:30
106 ERASST_J234403-352638 ERASST_J234403-352638 356.04123111 -35.41906 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 10.0 10.0 J,H,K eRASSt_J234403-352638_2021-01-16 -1 1.614 1.617 1.15 1.15 2 2021-01-17T00:48:08 3 2021-01-17T00:48:56
106 ERASST_J234403-352638 ERASST_J234403-352638 356.04120805 -35.41922 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 10.0 10.0 J,H,K eRASSt_J234403-352638_2021-01-16 -1 1.618 1.621 1.15 1.15 2 2021-01-17T00:48:08 4 2021-01-17T00:49:23
106 ERASST_J234403-352638 ERASST_J234403-352638 356.04134194 -35.4191 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 10.0 10.0 J,H,K eRASSt_J234403-352638_2021-01-16 -1 1.621 1.624 1.15 1.15 2 2021-01-17T00:48:08 5 2021-01-17T00:49:49
106 ERASST_J234403-352638 ERASST_J234403-352638 356.04147194 -35.41926 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 10.0 10.0 J,H,K eRASSt_J234403-352638_2021-01-16 -1 1.624 1.627 1.15 1.15 2 2021-01-17T00:48:08 6 2021-01-17T00:50:16
106 ERASST_J234403-352638 ERASST_J234403-352638 356.04153805 -35.41934 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 10.0 10.0 J,H,K eRASSt_J234403-352638_2021-01-16 -1 1.627 1.63 1.15 1.15 2 2021-01-17T00:48:08 7 2021-01-17T00:50:42
106 ERASST_J234403-352638 ERASST_J234403-352638 356.04219 -35.41365 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 10.0 10.0 J,H,K eRASSt_J234403-352638_2021-01-16 -1 1.634 1.637 1.15 1.15 2 2021-01-17T00:48:08 9 2021-01-17T00:51:40
106 ERASST_J234403-352638 ERASST_J234403-352638 356.04218888 -35.41418 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 115.005 "" G,R,I,Z eRASSt_J234403-352638_2021-01-16 -1 1.65 1.655 1.51 1.51 2 2021-01-17T00:48:08 8 2021-01-17T00:51:41
106 ERASST_J234403-352638 ERASST_J234403-352638 356.04203 -35.41382 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 10.0 10.0 J,H,K eRASSt_J234403-352638_2021-01-16 -1 1.637 1.641 1.15 1.15 2 2021-01-17T00:48:08 10 2021-01-17T00:52:07
106 ERASST_J234403-352638 ERASST_J234403-352638 356.04181611 -35.41392 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 10.0 10.0 J,H,K eRASSt_J234403-352638_2021-01-16 -1 1.641 1.644 1.15 1.51 2 2021-01-17T00:48:08 11 2021-01-17T00:52:33
106 ERASST_J234403-352638 ERASST_J234403-352638 356.04177194 -35.41396 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 10.0 10.0 J,H,K eRASSt_J234403-352638_2021-01-16 -1 1.644 1.647 1.51 1.51 2 2021-01-17T00:48:08 12 2021-01-17T00:52:59
106 ERASST_J234403-352638 ERASST_J234403-352638 356.04171305 -35.41384 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 10.0 10.0 J,H,K eRASSt_J234403-352638_2021-01-16 -1 1.647 1.65 1.51 1.51 2 2021-01-17T00:48:08 13 2021-01-17T00:53:26
106 ERASST_J234403-352638 ERASST_J234403-352638 356.04218888 -35.41418 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 10.0 10.0 J,H,K eRASSt_J234403-352638_2021-01-16 -1 1.65 1.654 1.51 1.51 2 2021-01-17T00:48:08 14 2021-01-17T00:53:52
